6	11	10 1 2 4 5 7 8 9
7	12	1 2 3 5 6 7 8 9
9	14	10 1 2 3 4 5 6 7 8
11	10	10 1 3 4 6
12	22	10 2 3 4 5 7 8 9
13	11	10 1 2 3 4 6 7 9
14	13	10 2 3 4 5 7 8 9
17	27	10 1 2 3 4 5 6 7 8 9
18	15	10 1 2 3 4 6 7 8
19	10	10 1 3 4 6 8
20	16	10 1 2 3 4 6 7 8 9
21	14	10 1 2 3 4 5 6 7 8 9
23	20	10 1 2 3 4 5 6 7 8 9
24	11	10 1 2 4 5 6 7 8 9
25	12	10 1 2 3 4 6 7 8 9
26	16	10 1 2 3 4 5 6 7 8 9
29	11	10 2 3 4 7 8 9
30	12	10 1 2 4 5 6 7 8 9
31	16	10 1 2 3 4 5 6 7 8 9
32	11	10 1 2 3 4 5 6 7 8
33	12	10 1 2 3 4 5 6 7 9
34	13	10 1 2 3 4 5 6 7 8 9
35	12	10 1 2 3 4 5 6 7 8 9
36	11	10 2 3 4 5 7 8 9
37	12	10 1 2 3 4 5 6 7 8 9
38	11	1 5 6 7 9
39	12	1 2 3 5 6 7 8 9
41	29	10 1 2 3 4 5 6 7 8 9
44	12	10 1 3 4 5 6 7 8 9
45	15	10 1 2 3 4 5 6 7 8 9
47	15	10 1 2 3 4 5 6 7 8 9
48	14	10 1 2 3 4 5 6 7 8
50	13	10 1 3 4 5 6 7 9
51	17	10 1 2 4 5 6 7 8 9
53	30	10 1 2 4 5 6 7 8 9
54	11	10 1 2 3 4 6 8
56	19	10 1 2 3 4 5 6 7 8 9
59	11	1 2 5 6 7 8 9
60	16	10 1 2 3 4 5 6 7 8 9
62	12	10 1 2 3 4 5 6 7 8 9
63	12	10 1 2 3 4 5 6 7 8 9
65	11	1 2 5 6 7 8 9
66	10	1 5 6 7
67	16	10 1 2 3 4 5 6 7 8 9
68	10	10 1 3 4 5 6 8
69	10	10 1 3 4 6
70	16	10 1 2 3 4 6 7 8 9
71	11	10 1 2 3 4 5 6 8 9
72	12	10 1 2 4 5 6 7 8 9
73	28	10 1 2 3 4 5 6 7 8 9
76	12	10 1 3 4 5 6 7
77	12	10 1 2 3 4 5 6 7 8 9
78	10	1 5 6 7
79	11	10 2 3 4 5 7 8 9
80	16	10 1 2 3 4 5 6 7 8 9
81	28	10 1 2 3 4 5 6 7 8 9
82	16	10 1 2 3 4 5 6 7 8 9
84	12	10 1 2 3 4 5 6 7 8 9
85	11	10 1 2 3 4 5 6 8 9
86	11	10 4 6 7 9
87	11	10 1 2 3 4 5 6 8
89	12	10 1 2 3 4 6 7 8 9
92	14	10 1 2 3 4 5 6 7 8 9
93	16	10 1 2 3 4 5 6 7 8 9
94	22	10 1 2 3 4 5 6 7 8 9
95	12	10 1 2 3 4 5 6 7 8 9
96	13	10 1 4 5 6 7 9
98	16	10 1 2 3 4 5 6 7 8 9
100	10	10 1 3 4 6 8
101	17	10 1 2 3 4 5 6 7 8 9
104	15	10 1 2 3 4 5 6 7 8 9
105	14	10 1 2 3 4 5 6 7 8 9
107	20	10 1 2 3 4 5 6 7 8
108	15	10 1 2 3 4 5 6 7 8 9
109	12	10 1 2 4 5 7 8 9
110	12	10 1 2 3 4 5 6 7 8 9
111	11	10 3 4 6 7 9
112	13	10 1 2 3 4 5 6 7 8 9
113	11	10 2 3 4 5 7 8 9
114	13	10 1 2 3 4 5 6 8
117	15	10 1 2 3 4 5 6 7 8 9
119	20	10 1 2 3 4 5 6 7 8 9
120	16	10 2 3 4 5 7 8 9
122	18	10 1 2 3 4 5 6 7 9
126	10	10 2 3 4 5 8 9
127	12	10 1 2 4 5 6 7 8 9
128	12	10 1 2 3 4 5 6 7 9
129	19	10 1 2 3 4 5 6 7 8 9
130	13	1 2 3 5 6 7 8 9
132	15	10 1 2 3 4 5 6 7 8 9
135	10	1 2 5 6 7 8 9
136	13	10 1 2 3 4 5 6 7 8 9
139	11	10 1 3 4 5 6 7
140	11	1 2 5 6 7 8 9
142	10	1 2 5 6 7 8 9
145	16	10 1 2 3 4 5 6 7 8 9
147	13	10 1 2 3 4 5 6 8
149	10	1 2 5 6 8 9
150	22	10 1 2 3 4 5 6 7 8
151	17	10 1 2 3 4 5 6 7 9
