SOURCE,DESTINATION,TIMESTAMP,WEIGHT
48,13,730251,1
67,13,730251,1
67,13,730251,1
75,147,730252,1
67,48,730252,1
67,13,730257,1
67,13,730258,1
48,50,730261,1
48,50,730261,1
48,13,730264,1
67,48,730265,1
67,13,730265,1
67,13,730265,1
48,13,730266,1
48,67,730266,1
48,147,730266,1
48,50,730266,1
48,13,730266,1
48,147,730266,1
48,147,730266,1
48,147,730267,1
48,50,730268,1
48,13,730268,1
48,67,730268,1
48,147,730268,1
48,50,730268,1
67,13,730268,1
67,13,730272,1
48,13,730272,1
48,67,730272,1
48,147,730272,1
48,50,730272,1
48,13,730273,1
48,67,730273,1
48,147,730273,1
48,50,730273,1
48,38,730273,1
48,147,730274,1
48,147,730274,1
48,147,730281,1
75,49,730285,1
67,147,730285,1
75,75,730286,1
67,147,730286,1
75,49,730286,1
75,49,730288,1
67,147,730288,1
75,49,730289,1
75,49,730299,1
75,49,730300,1
75,49,730300,1
75,49,730300,1
67,13,730302,1
67,13,730307,1
67,147,730307,1
67,50,730307,1
67,13,730307,1
67,48,730307,1
48,13,730307,1
48,67,730307,1
48,147,730307,1
48,50,730307,1
48,13,730308,1
48,67,730308,1
48,147,730308,1
48,50,730308,1
107,54,730309,1
107,107,730309,1
67,147,730309,1
67,50,730309,1
67,13,730309,1
67,48,730309,1
50,67,730317,1
48,13,730317,1
48,67,730317,1
48,147,730317,1
48,50,730317,1
67,13,730324,1
67,13,730324,1
67,13,730324,1
67,13,730324,1
107,54,730324,1
107,54,730324,1
67,50,730328,1
48,147,730328,1
67,13,730329,1
48,27,730329,1
67,13,730329,1
67,13,730329,1
67,50,730329,1
48,13,730331,1
67,147,730334,1
67,13,730334,1
67,13,730334,1
67,13,730335,1
67,13,730335,1
96,67,730335,1
75,49,730337,1
67,13,730338,1
67,13,730342,1
67,50,730343,1
67,13,730343,1
67,50,730343,1
48,13,730343,1
48,67,730343,1
48,147,730343,1
48,50,730343,1
67,50,730343,1
67,50,730344,1
67,13,730344,1
67,48,730344,1
67,147,730344,1
48,147,730344,1
67,50,730344,1
48,67,730344,1
48,13,730345,1
48,67,730345,1
48,147,730345,1
48,50,730345,1
151,66,730348,1
151,129,730348,1
151,66,730348,1
151,129,730348,1
48,27,730349,1
48,13,730349,1
48,67,730349,1
48,147,730349,1
48,50,730349,1
48,67,730351,1
48,67,730351,1
67,50,730355,1
50,67,730356,1
50,67,730356,1
67,147,730356,1
48,107,730357,1
48,50,730357,1
48,13,730357,1
48,107,730357,1
67,147,730358,1
48,13,730358,1
67,50,730358,1
48,50,730359,1
48,50,730359,1
48,13,730359,1
48,147,730359,1
48,67,730359,1
50,67,730359,1
48,13,730362,1
48,67,730362,1
48,147,730362,1
48,50,730362,1
48,13,730362,1
48,50,730362,1
67,50,730362,1
67,50,730362,1
50,67,730362,1
50,67,730362,1
50,67,730362,1
